"","word","sentiment","n"
"1","right","positive",212
"2","like","positive",192
"3","good","positive",160
"4","ominous","negative",121
"5","well","positive",119
"6","fuck","negative",109
"7","soft","positive",89
"8","thank","positive",88
"9","love","positive",83
"10","fucking","negative",73
"11","humming","negative",57
"12","shit","negative",57
"13","sorry","negative",52
"14","rumbling","negative",45
"15","static","negative",43
"16","intense","negative",41
"17","sharply","negative",41
"18","faint","negative",38
"19","hell","negative",37
"20","wrong","negative",37
"21","work","positive",35
"22","better","positive",33
"23","oddly","negative",33
"24","chatter","negative",32
"25","kill","negative",32
"26","clears","positive",31
"27","fine","positive",31
"28","dark","negative",28
"29","damn","negative",27
"30","beautiful","positive",24
"31","wild","negative",24
"32","bad","negative",23
"33","distorted","negative",23
"34","enough","positive",23
"35","great","positive",23
"36","buzzing","negative",21
"37","dead","negative",21
"38","prison","negative",21
"39","happy","positive",19
"40","hissing","negative",19
"41","hum","negative",19
"42","nice","positive",19
"43","odd","negative",19
"44","falling","negative",17
"45","bitch","negative",16
"46","killed","negative",16
"47","creaking","negative",15
"48","dings","negative",15
"49","free","positive",15
"50","noise","negative",15
"51","lost","negative",14
"52","squealing","negative",14
"53","best","positive",13
"54","hate","negative",13
"55","pretty","positive",13
"56","died","negative",12
"57","funny","negative",12
"58","important","positive",12
"59","loud","negative",12
"60","strange","negative",12
"61","excuse","negative",11
"62","knock","negative",11
"63","pain","negative",11
"64","trouble","negative",11
"65","hangs","negative",10
"66","hard","negative",10
"67","welcome","positive",10
"68","clean","positive",9
"69","creaks","negative",9
"70","instrumental","positive",9
"71","lose","negative",9
"72","luck","positive",9
"73","problem","negative",9
"74","ready","positive",9
"75","sick","negative",9
"76","smoke","negative",9
"77","squeal","negative",9
"78","terrible","negative",9
"79","worried","negative",9
"80","worry","negative",9
"81","blow","negative",8
"82","drunk","negative",8
"83","easy","positive",8
"84","hurt","negative",8
"85","interesting","positive",8
"86","loved","positive",8
"87","mistake","negative",8
"88","mockingly","negative",8
"89","muddy","negative",8
"90","stolen","negative",8
"91","top","positive",8
"92","whining","negative",8
"93","death","negative",7
"94","die","negative",7
"95","fun","positive",7
"96","missed","negative",7
"97","murder","negative",7
"98","sweet","positive",7
"99","tense","negative",7
"100","whoa","positive",7
"101","bleeding","negative",6
"102","cool","positive",6
"103","crazy","negative",6
"104","discordant","negative",6
"105","dying","negative",6
"106","fell","negative",6
"107","grand","positive",6
"108","loving","positive",6
"109","lucky","positive",6
"110","perfectly","positive",6
"111","safe","positive",6
"112","sharp","positive",6
"113","smell","negative",6
"114","squeaks","negative",6
"115","sweetheart","positive",6
"116","tired","negative",6
"117","trust","positive",6
"118","weird","negative",6
"119","booming","positive",5
"120","bright","positive",5
"121","broke","negative",5
"122","cunt","negative",5
"123","enjoy","positive",5
"124","fall","negative",5
"125","fear","negative",5
"126","freedom","positive",5
"127","goodness","positive",5
"128","lead","positive",5
"129","losing","negative",5
"130","louder","negative",5
"131","loves","positive",5
"132","miss","negative",5
"133","promise","positive",5
"134","rapid","positive",5
"135","slow","negative",5
"136","smelled","negative",5
"137","stupid","negative",5
"138","tough","positive",5
"139","ugh","negative",5
"140","win","positive",5
"141","wonderful","positive",5
"142","works","positive",5
"143","worse","negative",5
"144","worth","positive",5
"145","wow","positive",5
"146","afraid","negative",4
"147","alarm","negative",4
"148","appreciate","positive",4
"149","clear","positive",4
"150","cold","negative",4
"151","correct","positive",4
"152","crime","negative",4
"153","damned","negative",4
"154","devil","negative",4
"155","drones","negative",4
"156","fast","positive",4
"157","gold","positive",4
"158","hang","negative",4
"159","honor","positive",4
"160","hot","positive",4
"161","perfect","positive",4
"162","poison","negative",4
"163","properly","positive",4
"164","proud","positive",4
"165","punch","negative",4
"166","respect","positive",4
"167","rough","negative",4
"168","scream","negative",4
"169","screech","negative",4
"170","shame","negative",4
"171","slowly","negative",4
"172","stole","negative",4
"173","strong","positive",4
"174","worst","negative",4
"175","afford","positive",3
"176","alarming","negative",3
"177","bastard","negative",3
"178","blame","negative",3
"179","bloody","negative",3
"180","break","negative",3
"181","breaking","negative",3
"182","broken","negative",3
"183","bullshit","negative",3
"184","champ","positive",3
"185","cheap","negative",3
"186","comfortable","positive",3
"187","creative","positive",3
"188","darkness","negative",3
"189","dies","negative",3
"190","ding","negative",3
"191","dripping","negative",3
"192","enemy","negative",3
"193","excited","positive",3
"194","freeze","negative",3
"195","heaven","positive",3
"196","impossible","negative",3
"197","jam","negative",3
"198","leaking","negative",3
"199","liar","negative",3
"200","liberty","positive",3
"201","liked","positive",3
"202","loss","negative",3
"203","lovely","positive",3
"204","mess","negative",3
"205","pity","negative",3
"206","polite","positive",3
"207","protection","positive",3
"208","pure","positive",3
"209","quiet","positive",3
"210","rattles","negative",3
"211","remedy","positive",3
"212","rogue","negative",3
"213","silent","positive",3
"214","sinking","negative",3
"215","spewing","negative",3
"216","threaten","negative",3
"217","torture","negative",3
"218","trick","negative",3
"219","unbelievable","negative",3
"220","upbeat","positive",3
"221","urgent","negative",3
"222","weak","negative",3
"223","won","positive",3
"224","wonder","positive",3
"225","accidental","negative",2
"226","attractive","positive",2
"227","betray","negative",2
"228","blur","negative",2
"229","blurred","negative",2
"230","boom","positive",2
"231","catastrophic","negative",2
"232","complaining","negative",2
"233","concern","negative",2
"234","confess","negative",2
"235","conspiracy","negative",2
"236","coward","negative",2
"237","cozy","positive",2
"238","crashing","negative",2
"239","darling","positive",2
"240","delay","negative",2
"241","delicious","positive",2
"242","destiny","positive",2
"243","difficult","negative",2
"244","dirt","negative",2
"245","divine","positive",2
"246","dull","negative",2
"247","easier","positive",2
"248","emergency","negative",2
"249","excellent","positive",2
"250","failed","negative",2
"251","fair","positive",2
