"","word","value","n"
"1","like",2,192
"2","yeah",1,188
"3","good",3,160
"4","want",1,150
"5","yes",1,133
"6","ominous",3,121
"7","thank",2,88
"8","love",3,83
"9","god",1,71
"10","please",1,68
"11","help",2,46
"12","laughs",1,46
"13","intense",1,41
"14","thanks",2,37
"15","dream",1,36
"16","laughing",1,35
"17","better",2,33
"18","kind",2,32
"19","clears",1,31
"20","fine",2,31
"21","beautiful",3,24
"22","big",1,23
"23","great",3,23
"24","care",2,21
"25","cheers",2,19
"26","happy",3,19
"27","nice",3,19
"28","hope",2,18
"29","free",1,15
"30","cheering",2,14
"31","best",3,13
"32","certain",1,13
"33","feeling",1,13
"34","pretty",1,13
"35","funny",4,12
"36","important",2,12
"37","applause",2,11
"38","chance",2,11
"39","true",2,10
"40","welcome",2,10
"41","clean",2,9
"42","luck",3,9
"43","save",2,9
"44","wish",1,9
"45","easy",1,8
"46","interesting",2,8
"47","laugh",1,8
"48","loved",3,8
"49","top",2,8
"50","dear",2,7
"51","fun",4,7
"52","kiss",2,7
"53","sweet",2,7
"54","alive",1,6
"55","cool",1,6
"56","grand",3,6
"57","growing",1,6
"58","loving",2,6
"59","lucky",3,6
"60","perfectly",3,6
"61","safe",1,6
"62","saved",2,6
"63","straight",1,6
"64","trust",1,6
"65","bright",1,5
"66","carefully",2,5
"67","dreams",1,5
"68","enjoy",2,5
"69","freedom",2,5
"70","goodness",3,5
"71","interest",1,5
"72","join",1,5
"73","promise",1,5
"74","win",4,5
"75","wonderful",4,5
"76","worth",2,5
"77","wow",4,5
"78","appreciate",2,4
"79","clear",1,4
"80","honor",2,4
"81","hoping",2,4
"82","matter",1,4
"83","perfect",3,4
"84","proud",2,4
"85","strong",2,4
"86","agreement",1,3
"87","comfortable",2,3
"88","creative",2,3
"89","excited",3,3
"90","heaven",2,3
"91","huge",1,3
"92","interested",2,3
"93","justice",2,3
"94","liked",2,3
"95","lovely",3,3
"96","natural",1,3
"97","safety",1,3
"98","won",3,3
"99","accept",1,2
"100","careful",2,2
"101","curious",1,2
"102","excellent",3,2
"103","fair",2,2
"104","fan",3,2
"105","favor",2,2
"106","fresh",1,2
"107","ha",2,2
"108","hopefully",2,2
"109","jesus",1,2
"110","joke",2,2
"111","legally",1,2
"112","likes",2,2
"113","mercy",2,2
"114","opportunity",2,2
"115","pleasant",3,2
"116","pleased",3,2
"117","pleasure",3,2
"118","prepared",1,2
"119","rapture",2,2
"120","remarkable",2,2
"121","share",1,2
"122","smart",1,2
"123","smile",2,2
"124","smiled",2,2
"125","stronger",2,2
"126","united",1,2
"127","warm",1,2
"128","wishes",1,2
"129","adore",3,1
"130","agree",1,1
"131","agreed",1,1
"132","amazing",4,1
"133","appreciates",2,1
"134","approved",2,1
"135","backs",1,1
"136","calm",2,1
"137","calms",2,1
"138","carefree",1,1
"139","cares",2,1
"140","celebrate",3,1
"141","cheer",2,1
"142","chic",2,1
"143","cleared",1,1
"144","commit",1,1
"145","committed",1,1
"146","congratulations",2,1
"147","convince",1,1
"148","courtesy",2,1
"149","cute",2,1
"150","dearly",3,1
"151","delights",3,1
"152","diamond",1,1
"153","ecstatic",4,1
"154","ensure",1,1
"155","entitled",1,1
"156","excitement",3,1
"157","exciting",3,1
"158","exonerated",2,1
"159","extend",1,1
"160","faith",1,1
"161","fantastic",4,1
"162","favorite",2,1
"163","favorites",2,1
"164","fit",1,1
"165","flagship",2,1
"166","forgive",1,1
"167","glad",3,1
"168","greater",3,1
"169","greeted",1,1
"170","guarantee",1,1
"171","heavenly",4,1
"172","helpful",2,1
"173","helping",2,1
"174","honest",2,1
"175","hopeful",2,1
"176","hopes",2,1
"177","hug",2,1
"178","immortal",2,1
"179","invite",1,1
"180","joyful",3,1
"181","lively",2,1
"182","loyal",3,1
"183","positive",2,1
"184","powerful",2,1
"185","pray",1,1
"186","reach",1,1
"187","reached",1,1
"188","recommend",2,1
"189","resolve",2,1
"190","revered",2,1
"191","satisfied",2,1
"192","scoop",3,1
"193","secure",2,1
"194","serene",2,1
"195","sexy",3,1
"196","shared",1,1
"197","shares",1,1
"198","significance",1,1
"199","smiles",2,1
"200","smiling",2,1
"201","solid",2,1
"202","sparkle",3,1
"203","stable",2,1
"204","success",2,1
"205","sunshine",2,1
"206","super",3,1
"207","swift",2,1
"208","sympathy",2,1
"209","thankful",2,1
"210","tops",2,1
"211","trusted",2,1
"212","wealthy",2,1
"213","winner",4,1
"214","worthy",2,1
