"","word","sentiment","n"
"1","well","positive",314
"2","like","positive",308
"3","right","positive",263
"4","good","positive",226
"5","love","positive",105
"6","thank","positive",105
"7","sorry","negative",95
"8","great","positive",80
"9","better","positive",73
"10","work","positive",70
"11","miss","negative",60
"12","dead","negative",55
"13","fine","positive",49
"14","kill","negative",47
"15","nice","positive",46
"16","killed","negative",45
"17","enough","positive",41
"18","happy","positive",41
"19","excuse","negative",40
"20","hard","negative",40
"21","best","positive",39
"22","wrong","negative",39
"23","died","negative",37
"24","dick","negative",36
"25","hell","negative",35
"26","beautiful","positive",34
"27","pretty","positive",34
"28","bad","negative",32
"29","afraid","negative",30
"30","hurt","negative",30
"31","die","negative",29
"32","damn","negative",28
"33","ready","positive",28
"34","promise","positive",24
"35","death","negative",23
"36","easy","positive",23
"37","welcome","positive",23
"38","fear","negative",22
"39","poor","negative",22
"40","problem","negative",22
"41","murder","negative",21
"42","strange","negative",21
"43","worry","negative",21
"44","top","positive",20
"45","mad","negative",19
"46","important","positive",18
"47","lost","negative",18
"48","perfect","positive",18
"49","trouble","negative",18
"50","clear","positive",17
"51","darling","positive",17
"52","lucky","positive",17
"53","dark","negative",16
"54","killer","negative",16
"55","safe","positive",16
"56","sweet","positive",16
"57","terrible","negative",16
"58","cave","negative",15
"59","hot","positive",15
"60","loved","positive",15
"61","luck","positive",14
"62","glad","positive",13
"63","heaven","positive",13
"64","weird","negative",13
"65","appreciate","positive",12
"66","break","negative",12
"67","cool","positive",12
"68","honest","positive",12
"69","cold","negative",11
"70","crime","negative",11
"71","dangerous","negative",11
"72","hang","negative",11
"73","helping","positive",11
"74","pleasure","positive",11
"75","prison","negative",11
"76","quiet","positive",11
"77","trust","positive",11
"78","bastard","negative",10
"79","beauty","positive",10
"80","burn","negative",10
"81","difficult","negative",10
"82","funny","negative",10
"83","respect","positive",10
"84","sick","negative",10
"85","warm","positive",10
"86","wonder","positive",10
"87","bomb","negative",9
"88","crazy","negative",9
"89","doubt","negative",9
"90","evil","negative",9
