"","word","value","n"
"1","like",2,144
"2","yeah",1,77
"3","good",3,76
"4","yes",1,75
"5","please",1,50
"6","want",1,43
"7","love",3,40
"8","thank",2,38
"9","god",1,37
"10","help",2,36
"11","kind",2,31
"12","thanks",2,31
"13","big",1,29
"14","great",3,27
"15","best",3,24
"16","better",2,22
"17","care",2,19
"18","fine",2,19
"19","dream",1,18
"20","nice",3,18
"21","ha",2,17
"22","pretty",1,15
"23","beautiful",3,14
"24","clear",1,14
"25","chance",2,13
"26","true",2,13
"27","easy",1,12
"28","hope",2,11
"29","glad",3,10
"30","lucky",3,10
"31","clean",2,9
"32","dreams",1,9
"33","pleasure",3,9
"34","loved",3,8
"35","straight",1,8
"36","top",2,8
"37","certain",1,7
"38","fair",2,7
"39","feeling",1,7
"40","happy",3,7
"41","sweet",2,7
"42","dear",2,6
"43","safe",1,6
"44","fresh",1,5
"45","important",2,5
"46","luck",3,5
"47","matter",1,5
"48","perfect",3,5
"49","recommend",2,5
"50","save",2,5
"51","welcome",2,5
"52","wish",1,5
"53","enjoy",2,4
"54","excited",3,4
"55","join",1,4
"56","laughing",1,4
"57","likes",2,4
"58","promise",1,4
"59","reach",1,4
"60","safety",1,4
"61","spirit",1,4
"62","strength",2,4
"63","agreement",1,3
"64","appreciate",2,3
"65","bright",1,3
"66","careful",2,3
"67","elegant",2,3
"68","fantastic",4,3
"69","funny",4,3
"70","grand",3,3
"71","hoping",2,3
"72","jesus",1,3
"73","opportunity",2,3
"74","positive",2,3
"75","promised",1,3
"76","smile",2,3
"77","solve",1,3
"78","vision",1,3
"79","ability",2,2
"80","agreed",1,2
"81","cool",1,2
"82","desire",1,2
"83","favorite",2,2
"84","free",1,2
"85","fun",4,2
"86","generous",2,2
"87","goodness",3,2
"88","greater",3,2
"89","heavenly",4,2
"90","honest",2,2
"91","intelligent",2,2
"92","interest",1,2
"93","interesting",2,2
"94","kiss",2,2
"95","liked",2,2
"96","lovely",3,2
"97","perfectly",3,2
"98","pleased",3,2
"99","pray",1,2
"100","responsible",2,2
"101","share",1,2
"102","strong",2,2
"103","sympathetic",2,2
"104","thankful",2,2
"105","trust",1,2
"106","wealthy",2,2
"107","wonderful",4,2
"108","wow",4,2
"109","accept",1,1
"110","amazing",4,1
"111","ambitious",2,1
"112","appreciates",2,1
"113","authority",1,1
"114","benefit",2,1
"115","bold",2,1
"116","brightest",2,1
"117","calm",2,1
"118","carefully",2,1
"119","charm",3,1
"120","charming",3,1
"121","cleared",1,1
"122","comfortable",2,1
"123","commitment",2,1
"124","committed",1,1
"125","congratulations",2,1
"126","courteous",2,1
"127","creative",2,1
"128","curious",1,1
"129","desirable",2,1
"130","ease",2,1
"131","engage",1,1
"132","excellent",3,1
"133","favor",2,1
"134","favors",2,1
"135","fit",1,1
"136","flagship",2,1
"137","forgive",1,1
"138","gained",2,1
"139","glamorous",3,1
"140","grant",1,1
"141","greetings",2,1
"142","greets",1,1
"143","growing",1,1
"144","hail",2,1
"145","happiness",3,1
"146","haunting",1,1
"147","heaven",2,1
"148","helpful",2,1
"149","helping",2,1
"150","honor",2,1
"151","honored",2,1
"152","hopeful",2,1
"153","inspiration",2,1
"154","interested",2,1
"155","interests",1,1
"156","joke",2,1
"157","joy",3,1
"158","laugh",1,1
"159","laughed",1,1
"160","loving",2,1
"161","mature",2,1
"162","meaningful",2,1
"163","merry",3,1
"164","playful",2,1
"165","pleasant",3,1
"166","protect",1,1
"167","proud",2,1
"168","relieved",2,1
"169","relieving",2,1
"170","responsive",2,1
"171","reward",2,1
"172","rich",2,1
"173","significance",1,1
"174","significant",1,1
"175","slicker",2,1
"176","solid",2,1
"177","soothing",3,1
"178","spark",1,1
"179","sparkling",3,1
"180","successful",3,1
"181","super",3,1
"182","support",2,1
"183","swift",2,1
"184","tender",2,1
"185","tolerant",2,1
"186","trusted",2,1
"187","visions",1,1
"188","warm",1,1
"189","win",4,1
"190","worth",2,1
