"","word","value","n"
"1","no",-1,332
"2","fuck",-4,109
"3","fucking",-4,73
"4","stop",-1,59
"5","shit",-4,57
"6","sorry",-1,52
"7","screaming",-2,42
"8","crying",-2,41
"9","gun",-1,37
"10","hell",-4,37
"11","wrong",-2,37
"12","missing",-2,34
"13","kill",-3,32
"14","leave",-1,29
"15","damn",-4,27
"16","brooding",-2,26
"17","bad",-3,23
"18","distorted",-2,23
"19","pay",-1,22
"20","screams",-2,22
"21","dead",-3,21
"22","prison",-2,21
"23","odd",-2,19
"24","falling",-1,17
"25","stops",-1,17
"26","bitch",-5,16
"27","killed",-3,16
"28","moaning",-2,15
"29","fire",-2,14
"30","lost",-3,14
"31","alone",-2,13
"32","hate",-3,13
"33","died",-3,12
"34","forget",-1,12
"35","strange",-1,12
"36","excuse",-1,11
"37","pain",-2,11
"38","trouble",-2,11
"39","hard",-1,10
"40","cries",-2,9
"41","problem",-2,9
"42","sick",-2,9
"43","swear",-2,9
"44","terrible",-3,9
"45","weeping",-2,9
"46","worried",-3,9
"47","worry",-3,9
"48","ass",-4,8
"49","drunk",-2,8
"50","hurt",-2,8
"51","mistake",-2,8
"52","stolen",-2,8
"53","accident",-2,7
"54","arrest",-2,7
"55","death",-2,7
"56","die",-3,7
"57","disappeared",-1,7
"58","fucker",-4,7
"59","missed",-2,7
"60","murder",-2,7
"61","tense",-2,7
"62","asshole",-4,6
"63","crazy",-2,6
"64","cut",-1,6
"65","fucked",-4,6
"66","motherfucker",-5,6
"67","shoot",-1,6
"68","tired",-2,6
"69","weird",-2,6
"70","admit",-1,5
"71","broke",-1,5
"72","cunt",-5,5
"73","fear",-2,5
"74","losing",-3,5
"75","miss",-2,5
"76","stopped",-1,5
"77","stupid",-2,5
"78","victim",-3,5
"79","worse",-3,5
"80","afraid",-2,4
"81","alarm",-2,4
"82","crime",-3,4
"83","damned",-4,4
"84","eerie",-2,4
"85","hid",-1,4
"86","moans",-2,4
"87","murders",-2,4
"88","pained",-2,4
"89","poison",-2,4
"90","pretending",-1,4
"91","scream",-2,4
"92","shame",-2,4
"93","victims",-3,4
"94","worst",-3,4
"95","bastard",-5,3
"96","blame",-2,3
"97","blocked",-1,3
"98","bloody",-3,3
"99","broken",-1,3
"100","bullshit",-4,3
"101","choking",-2,3
"102","darkness",-1,3
"103","enemy",-2,3
"104","fired",-2,3
"105","goddamn",-3,3
"106","liar",-3,3
"107","lobby",-2,3
"108","loss",-3,3
"109","mess",-2,3
"110","pity",-2,3
"111","terrified",-3,3
"112","threaten",-2,3
"113","torture",-4,3
"114","unbelievable",-1,3
"115","urgent",-1,3
"116","weak",-2,3
"117","accidental",-2,2
"118","attacked",-1,2
"119","betray",-3,2
"120","catastrophic",-4,2
"121","charges",-2,2
"122","conspiracy",-3,2
"123","coward",-2,2
"124","delay",-1,2
"125","difficult",-1,2
"126","dirt",-2,2
"127","dull",-2,2
"128","emergency",-2,2
"129","exposed",-1,2
"130","failed",-2,2
"131","fight",-1,2
"132","ill",-2,2
"133","jealous",-2,2
"134","killing",-3,2
"135","leak",-1,2
"136","longing",-1,2
"137","manipulated",-1,2
"138","melancholy",-2,2
"139","nervous",-2,2
"140","overweight",-1,2
"141","pissing",-3,2
"142","poisoned",-2,2
"143","poor",-2,2
"144","problems",-2,2
"145","questioning",-1,2
"146","shock",-2,2
"147","sore",-1,2
"148","suffering",-2,2
"149","suspect",-1,2
"150","trap",-1,2
"151","uneasy",-2,2
"152","upset",-2,2
"153","accused",-2,1
"154","alert",-1,1
"155","anger",-3,1
"156","arrested",-3,1
"157","ashamed",-2,1
"158","badly",-3,1
"159","bitter",-2,1
"160","block",-1,1
"161","blocks",-1,1
"162","bother",-2,1
"163","cancer",-1,1
"164","charged",-3,1
"165","cheated",-3,1
"166","childish",-2,1
"167","chokes",-2,1
"168","cocksuckers",-5,1
"169","confused",-2,1
"170","contempt",-2,1
"171","corpse",-1,1
"172","crash",-2,1
"173","cry",-1,1
"174","cuts",-1,1
"175","damage",-3,1
"176","deny",-2,1
"177","desperately",-3,1
"178","dick",-4,1
"179","dilemma",-1,1
"180","dirty",-2,1
"181","disappear",-1,1
"182","disappears",-1,1
"183","disoriented",-2,1
"184","disrespect",-2,1
"185","disturbing",-2,1
"186","doubt",-1,1
"187","douchebag",-3,1
"188","dragged",-1,1
"189","drained",-2,1
"190","empty",-1,1
"191","enemies",-2,1
"192","fail",-2,1
"193","fatalities",-3,1
"194","fearful",-2,1
"195","fool",-2,1
"196","gag",-2,1
"197","giddy",-2,1
"198","grave",-2,1
"199","greedy",-2,1
"200","hated",-3,1
"201","hates",-3,1
"202","hiding",-1,1
"203","horrible",-3,1
"204","ignorance",-2,1
"205","ignore",-1,1
"206","lagging",-2,1
"207","lied",-2,1
"208","limits",-1,1
"209","loose",-3,1
"210","loser",-3,1
"211","lurking",-1,1
"212","mad",-3,1
"213","miserable",-3,1
"214","mistaken",-2,1
"215","moan",-2,1
"216","moody",-1,1
"217","moron",-3,1
"218","motherfucking",-5,1
"219","murdering",-3,1
"220","negative",-2,1
"221","neglecting",-2,1
"222","notorious",-2,1
"223","nuts",-3,1
"224","panicked",-3,1
"225","piss",-4,1
"226","poisons",-2,1
"227","pressure",-1,1
"228","prevent",-1,1
"229","prisoners",-2,1
"230","rash",-2,1
"231","refused",-2,1
"232","regret",-2,1
"233","risk",-2,1
"234","ruining",-2,1
"235","sad",-2,1
"236","scared",-2,1
"237","scary",-2,1
"238","screamed",-2,1
"239","selfish",-3,1
"240","sentence",-2,1
"241","sigh",-2,1
"242","snub",-2,1
"243","solemn",-1,1
"244","somber",-2,1
"245","stall",-2,1
"246","starving",-2,1
"247","stifled",-1,1
