"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2458","RT @RinaldoZoontjes: Who’s Afraid Of Windom Earle? #WindomEarle #AgentEarle #ProjectBlueBook #KennethWelsh #Creepy #NightmareFuel #TwinPeak…",FALSE,0,NA,2019-10-25 11:50:49,FALSE,NA,"1187698021657501696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","atsuyaito",9,TRUE,FALSE,NA,NA
"2459","RT @PeaksCalendar: Happy birthday to Erika Anderson (Emerald and Jade on Invitation To Love)! #TwinPeaks #ThisDayInTwinPeaks https://t.co/V…",FALSE,0,NA,2019-10-25 11:48:47,FALSE,NA,"1187697510673977345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaximilianVict4",5,TRUE,FALSE,NA,NA
"2460","RT @PeaksCalendar: Happy birthday to Erika Anderson (Emerald and Jade on Invitation To Love)! #TwinPeaks #ThisDayInTwinPeaks https://t.co/V…",FALSE,0,NA,2019-10-25 11:48:38,FALSE,NA,"1187697473906774016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lolaandjolie",5,TRUE,FALSE,NA,NA
"2461","RT @RoyZemach: ""Everybody knew she was in trouble, but we didn’t do anything. 
All you good people…
You wanna know who killed Laura Palmer?…",FALSE,0,NA,2019-10-25 11:45:26,FALSE,NA,"1187696667249778690",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Diadia72",8,TRUE,FALSE,NA,NA
"2462","RT @TheDoubleRClub: The FINAL show of 2019!

Thursday Nov 21 @bgwmc

Think ‘damn fine’ Lynchian #cabaret and #burlesque set to the sounds o…",FALSE,0,NA,2019-10-25 11:45:20,FALSE,NA,"1187696641530384384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SoFuckinSuave",3,TRUE,FALSE,NA,NA
"2463","RT @franck_boulegue: For Halloween, we've decided to finally eat our yummy little cat Fantômas ! <U+0001F63C> @mattzollerseitz @KinoTanz @mfrost11 #Tw…",FALSE,0,NA,2019-10-25 11:44:02,FALSE,NA,"1187696316165558273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KinoTanz",1,TRUE,FALSE,NA,NA
"2464","RT @RinaldoZoontjes: Amazing Video Of #DavidLynch Sitting Next To A #LauraPalmer Doll and Falling Off His Chair, Made By #TheMan Himself. (…",FALSE,0,NA,2019-10-25 11:43:43,FALSE,NA,"1187696234900926465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","draceena",23,TRUE,FALSE,NA,NA
"2465","""Everybody knew she was in trouble, but we didn’t do anything. 
All you good people…
You wanna know who killed Laur… https://t.co/sR0EoxVedz",FALSE,43,NA,2019-10-25 11:40:05,TRUE,NA,"1187695322509778944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RoyZemach",8,FALSE,FALSE,NA,NA
"2466","RT @TheDoubleRClub: The FINAL show of 2019!

Thursday Nov 21 @bgwmc

Think ‘damn fine’ Lynchian #cabaret and #burlesque set to the sounds o…",FALSE,0,NA,2019-10-25 11:38:24,FALSE,NA,"1187694898457333760",NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>","TwinPeaksBotNew",3,TRUE,FALSE,NA,NA
"2467","RT @RinaldoZoontjes: “COOP, WHAT HAPPENED TO JOSIE?!? HAHAHAHA!!!” - Killer BOB. (Thank BOB It’s Friday!!!) #KillerBOB #FrankSilva #RIPFran…",FALSE,0,NA,2019-10-25 11:37:47,FALSE,NA,"1187694742391414786",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PasquinoSalento",9,TRUE,FALSE,NA,NA
