uis,text,favoriteCount,created,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
2931,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:46,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",belivac,559,TRUE,FALSE
2932,"I'm wondering where #theLog is. The real one.
#theloglady #TwinPeaks https://t.co/H5rTvxwbsv",0,24/10/2019 15:46,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Piero148,0,FALSE,FALSE
2933,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:46,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",AlisonBallinger,559,TRUE,FALSE
2934,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:42,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HamrockLuke,559,TRUE,FALSE
2935,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:41,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ScarletMagdalen,559,TRUE,FALSE
2936,RT @TwinPeaksArchve: #TwinPeaks https://t.co/P54eAvyCsD,0,24/10/2019 15:40,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NelsonEcheverr5,15,TRUE,FALSE
2937,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:39,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",synesthspiria,559,TRUE,FALSE
2938,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:36,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",furtwennty,559,TRUE,FALSE
2939,"RT @Kyle_MacLachlan: Who is more likely to text you an ALL CAPS conversation? 
�HELLOOoooOOOoo!�...or��I don�t need, I WANT!� <U+0001F914> #CAPSLOCKDA�",0,24/10/2019 15:35,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HolyOot,99,TRUE,FALSE
2940,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:32,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",spiderdan4,559,TRUE,FALSE
2941,I'll be hosting a panel this weekend talking about Lynch and Kojima. #TwinPeaks #DeathStranding  More Details to co� https://t.co/eSFIKBDhOg,1,24/10/2019 15:31,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GazerExternal,0,FALSE,FALSE
2942,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:27,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",pistachiaroon,559,TRUE,FALSE
2943,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:26,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ndmpsy,559,TRUE,FALSE
2944,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:24,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GeePeeWill,559,TRUE,FALSE
2945,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:24,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",rynvie,559,TRUE,FALSE
2946,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:23,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sporkypants,559,TRUE,FALSE
2947,Odio tutti <U+0001F60A> #TwinPeaks,0,24/10/2019 15:22,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jaenesnow,0,FALSE,FALSE
2948,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:22,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gingerbreadach1,559,TRUE,FALSE
2949,@mfrost11 The year you give us a new #TwinPeaks book!,5,24/10/2019 15:21,1.18739E+18,21266548,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AllAntoinette,1,FALSE,FALSE
