"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1100","""Er tötet ihn sanft mit seiner Säge."" - ""Er tötet ihn sanft?"" - ""Mit seiner Säge.""

#Simpsons",FALSE,1,NA,2020-01-15 17:56:17,FALSE,NA,"1217505799494303744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Errydraven",0,FALSE,FALSE,NA,NA
"1101","RT @falkatw: Marge: Aber eine Katze brauch einen vernünftigen Namen wie Schnurri oder Pfoti. #Simpsons",FALSE,0,NA,2020-01-15 17:56:12,FALSE,NA,"1217505777537245185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","falkatw",1,TRUE,FALSE,NA,NA
"1102","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 17:52:24,FALSE,NA,"1217504822049607681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EspadaConTwiter",42,TRUE,FALSE,NA,NA
"1103","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 17:50:55,FALSE,NA,"1217504449574375425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laleitor",42,TRUE,FALSE,NA,NA
"1104","Verkäufer:Ich könnte es ihnen zusammenbauen, gegen eine kleine Montagegebühr.
<U+0001F602> #Simpsons https://t.co/a7ZahfE9PO",FALSE,2,NA,2020-01-15 17:50:44,FALSE,NA,"1217504403927830529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","falkatw",0,FALSE,FALSE,NA,NA
"1105","""Ich fahre auf 'nem Einrad und hab die Hosen runter. Der Traum eines jeden Jungen!""

#Simpsons",FALSE,1,NA,2020-01-15 17:50:20,FALSE,NA,"1217504300844421120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Errydraven",0,FALSE,FALSE,NA,NA
"1106","""Hätte ich doch bloß das blöde Elektrokabel durchgebissen!""

#Simpsons",FALSE,1,NA,2020-01-15 17:49:00,FALSE,NA,"1217503966222786566",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Errydraven",0,FALSE,FALSE,NA,NA
"1107","""Danke für die Quasten, die kann meine Mum auf der Arbeit an die Möpse kleben!""

#Simpsons",FALSE,1,NA,2020-01-15 17:47:15,FALSE,NA,"1217503524675780608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Errydraven",0,FALSE,FALSE,NA,NA
"1108","RT @QuotesSimpsons1: ""Torture Land""

""Explosion Land""

""Searing Gas Pain Land""

""Unnecessary Surgery Land.""

#Simpsons https://t.co/ZZMYIpu…",FALSE,0,NA,2020-01-15 17:47:11,FALSE,NA,"1217503511316819968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cassie638",9,TRUE,FALSE,NA,NA
"1109","RT @falkatw: ""Ein kugelsicherer Sattel"" Das reicht schon um mich wiedermal herrlichst zu amüsieren :D #Simpsons",FALSE,0,NA,2020-01-15 17:45:59,FALSE,NA,"1217503209385873408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","falkatw",1,TRUE,FALSE,NA,NA
