"","Episode","word","sentiment"
"233","s1e4","be",NA
"234","s1e4","heading",NA
"235","s1e4","to",NA
"236","s1e4","the",NA
"237","s1e4","sheriff's",NA
"238","s1e4","after",NA
"239","s1e4","breakfast",NA
"240","s1e4","from",NA
"241","s1e4","there",NA
"242","s1e4","we'll",NA
"243","s1e4","be",NA
"244","s1e4","going",NA
"245","s1e4","on",NA
"246","s1e4","to",NA
"247","s1e4","laura",NA
"248","s1e4","palmer's",NA
"249","s1e4","funeral",NA
"250","s1e4","good","positive"
"251","s1e4","morning",NA
"252","s1e4","colonel",NA
"253","s1e4","cooper",NA
"254","s1e4","just",NA
"255","s1e4","agent",NA
"256","s1e4","audrey",NA
"257","s1e4","special",NA
"258","s1e4","agent",NA
"259","s1e4","special",NA
"260","s1e4","agent",NA
"261","s1e4","would",NA
"262","s1e4","you",NA
"263","s1e4","care",NA
"264","s1e4","to",NA
"265","s1e4","join",NA
"266","s1e4","me",NA
"267","s1e4","for",NA
"268","s1e4","breakfast",NA
"269","s1e4","i'm",NA
"270","s1e4","in",NA
"271","s1e4","a",NA
"272","s1e4","hurry",NA
"273","s1e4","for",NA
"274","s1e4","what",NA
"275","s1e4","audrey",NA
"276","s1e4","that",NA
"277","s1e4","perfume",NA
"278","s1e4","you're",NA
"279","s1e4","wearing",NA
"280","s1e4","is",NA
"281","s1e4","incredible","positive"
"282","s1e4","do",NA
"283","s1e4","you",NA
"284","s1e4","really",NA
"285","s1e4","think",NA
"286","s1e4","so",NA
"287","s1e4","yes",NA
"288","s1e4","i",NA
"289","s1e4","do",NA
"290","s1e5","previously",NA
"291","s1e5","on",NA
"292","s1e5","twin",NA
"293","s1e5","peaks",NA
"294","s1e5","agent",NA
"295","s1e5","cooper",NA
"296","s1e5","there's",NA
"297","s1e5","no",NA
"298","s1e5","sign",NA
"299","s1e5","of",NA
"300","s1e5","the",NA
"301","s1e5","man",NA
"302","s1e5","with",NA
"303","s1e5","one",NA
"304","s1e5","arm",NA
"305","s1e5","keep",NA
"306","s1e5","trying",NA
"307","s1e5","he's",NA
"308","s1e5","out",NA
"309","s1e5","there",NA
"310","s1e5","if",NA
"311","s1e5","anyone",NA
"312","s1e5","can",NA
"313","s1e5","find",NA
"314","s1e5","him",NA
"315","s1e5","hawk",NA
"316","s1e5","can",NA
"317","s1e5","he's",NA
"318","s1e5","a",NA
"319","s1e5","tracker",NA
"320","s1e5","the",NA
"321","s1e5","best","positive"
"322","s1e5","my",NA
"323","s1e5","darling","positive"
"324","s1e5","daughter",NA
"325","s1e5","jade",NA
"326","s1e5","uncle",NA
"327","s1e5","leland",NA
"328","s1e5","madeleine",NA
"329","s1e5","blood",NA
"330","s1e5","somebody's",NA
"331","s1e5","running",NA
"332","s1e5","drugs",NA
"333","s1e5","into",NA
"334","s1e5","twin",NA
"335","s1e5","peaks",NA
"336","s1e5","who's",NA
"337","s1e5","targeted",NA
"338","s1e5","jacques",NA
"339","s1e5","renault",NA
"340","s1e5","bartender",NA
"341","s1e5","at",NA
"342","s1e5","the",NA
"343","s1e5","roadhouse",NA
"344","s1e6","diane",NA
"345","s1e6","it",NA
"346","s1e6","is",NA
"347","s1e6","4",NA
"348","s1e6","28",NA
"349","s1e6","a.m",NA
"350","s1e6","i",NA
"351","s1e6","have",NA
"352","s1e6","just",NA
"353","s1e6","been",NA
"354","s1e6","woken",NA
"355","s1e6","up",NA
"356","s1e6","by",NA
"357","s1e6","the",NA
"358","s1e6","most",NA
"359","s1e6","god",NA
"360","s1e6","awful","negative"
"361","s1e6","racket",NA
"362","s1e6","which",NA
"363","s1e6","you",NA
"364","s1e6","can",NA
"365","s1e6","probably",NA
"366","s1e6","hear",NA
"367","s1e6","over",NA
"368","s1e6","the",NA
"369","s1e6","sound",NA
"370","s1e6","of",NA
"371","s1e6","my",NA
"372","s1e6","voice",NA
"373","s1e6","can",NA
"374","s1e6","you",NA
"375","s1e6","hear",NA
"376","s1e6","that",NA
"377","s1e6","up",NA
"378","s1e6","until",NA
"379","s1e6","this",NA
"380","s1e6","moment",NA
"381","s1e6","i've",NA
"382","s1e6","experienced",NA
"383","s1e6","nothing",NA
"384","s1e6","at",NA
"385","s1e6","the",NA
"386","s1e6","great","positive"
"387","s1e6","northern",NA
"388","s1e6","hotel",NA
"389","s1e6","but",NA
"390","s1e6","the",NA
"391","s1e6","most",NA
"392","s1e6","pleasant","positive"
"393","s1e6","courteous","positive"
"394","s1e6","service",NA
"395","s1e6","imaginable",NA
"396","s1e6","however",NA
"397","s1e6","it",NA
"398","s1e6","just",NA
"399","s1e6","goes",NA
"400","s1e6","to",NA
"401","s1e6","prove",NA
"402","s1e6","the",NA
"403","s1e6","point",NA
"404","s1e6","that",NA
"405","s1e6","once",NA
"406","s1e6","a",NA
"407","s1e6","traveler",NA
"408","s1e6","leaves",NA
"409","s1e6","his",NA
"410","s1e6","home",NA
"411","s1e6","he",NA
"412","s1e6","loses","negative"
"413","s1e6","almost",NA
"414","s1e6","100",NA
"415","s1e6","percent",NA
"416","s1e6","of",NA
"417","s1e6","his",NA
"418","s1e6","ability",NA
"419","s1e6","to",NA
"420","s1e6","control",NA
"421","s1e6","his",NA
"422","s1e6","environment",NA
"423","s1e6","diane",NA
"424","s1e6","i",NA
"425","s1e6","was",NA
"426","s1e6","wondering",NA
"427","s1e6","if",NA
"428","s1e6","you",NA
"429","s1e6","could",NA
"430","s1e6","overnight",NA
"431","s1e6","express",NA
"432","s1e6","to",NA
"433","s1e6","me",NA
"434","s1e6","two",NA
"435","s1e6","pair",NA
"436","s1e6","of",NA
"437","s1e6","those",NA
"438","s1e6","ear",NA
"439","s1e6","pillow",NA
"440","s1e6","silicone",NA
"441","s1e6","earplugs",NA
"442","s1e6","which",NA
"443","s1e6","i",NA
"444","s1e6","used",NA
"445","s1e6","on",NA
"446","s1e6","my",NA
"447","s1e6","last",NA
"448","s1e6","trip",NA
"449","s1e6","to",NA
"450","s1e6","new",NA
"451","s1e6","york",NA
"452","s1e6","naturally",NA
"453","s1e6","i",NA
"454","s1e6","didn't",NA
"455","s1e6","bring",NA
"456","s1e6","them",NA
"457","s1e6","with",NA
"458","s1e6","me",NA
"459","s1e6","on",NA
"460","s1e6","this",NA
"461","s1e6","trip",NA
"462","s1e6","because",NA
"463","s1e6","i",NA
"464","s1e6","didn't",NA
"465","s1e6","feel",NA
"466","s1e6","it",NA
"467","s1e6","would",NA
"468","s1e6","be",NA
"469","s1e6","necessary",NA
"470","s1e6","however",NA
"471","s1e6","coffee",NA
"472","s1e6","please",NA
"473","s1e6","what's",NA
"474","s1e6","with",NA
"475","s1e6","the",NA
"476","s1e6","choir",NA
"477","s1e6","practice",NA
"478","s1e6","heh",NA
"479","s1e6","business",NA
"480","s1e6","junket",NA
"481","s1e6","from",NA
"482","s1e6","iceland",NA
"483","s1e7","previously",NA
"484","s1e7","on",NA
"485","s1e7","twin",NA
"486","s1e7","peaks",NA
"487","s1e7","you",NA
"488","s1e7","ll",NA
"489","s1e7","put",NA
"490","s1e7","me",NA
"491","s1e7","to",NA
"492","s1e7","work","positive"
"493","s1e7","behind",NA
"494","s1e7","the",NA
"495","s1e7","perfume",NA
"496","s1e7","counter",NA
"497","s1e7","does",NA
"498","s1e7","that",NA
"499","s1e7","clear","positive"
