"","Episode","word"
"275","s1e4","audrey"
"276","s1e4","that"
"277","s1e4","perfume"
"278","s1e4","you're"
"279","s1e4","wearing"
"280","s1e4","is"
"281","s1e4","incredible"
"282","s1e4","do"
"283","s1e4","you"
"284","s1e4","really"
"285","s1e4","think"
"286","s1e4","so"
"287","s1e4","yes"
"288","s1e4","i"
"289","s1e4","do"
"290","s1e5","previously"
"291","s1e5","on"
"292","s1e5","twin"
"293","s1e5","peaks"
"294","s1e5","agent"
"295","s1e5","cooper"
"296","s1e5","there's"
"297","s1e5","no"
"298","s1e5","sign"
"299","s1e5","of"
"300","s1e5","the"
"301","s1e5","man"
"302","s1e5","with"
"303","s1e5","one"
"304","s1e5","arm"
"305","s1e5","keep"
"306","s1e5","trying"
"307","s1e5","he's"
"308","s1e5","out"
"309","s1e5","there"
"310","s1e5","if"
"311","s1e5","anyone"
"312","s1e5","can"
"313","s1e5","find"
"314","s1e5","him"
"315","s1e5","hawk"
"316","s1e5","can"
"317","s1e5","he's"
"318","s1e5","a"
"319","s1e5","tracker"
"320","s1e5","the"
"321","s1e5","best"
"322","s1e5","my"
"323","s1e5","darling"
"324","s1e5","daughter"
"325","s1e5","jade"
"326","s1e5","uncle"
"327","s1e5","leland"
"328","s1e5","madeleine"
"329","s1e5","blood"
"330","s1e5","somebody's"
"331","s1e5","running"
"332","s1e5","drugs"
"333","s1e5","into"
"334","s1e5","twin"
"335","s1e5","peaks"
"336","s1e5","who's"
"337","s1e5","targeted"
"338","s1e5","jacques"
"339","s1e5","renault"
"340","s1e5","bartender"
"341","s1e5","at"
"342","s1e5","the"
"343","s1e5","roadhouse"
"344","s1e6","diane"
"345","s1e6","it"
"346","s1e6","is"
"347","s1e6","4"
"348","s1e6","28"
"349","s1e6","a.m"
"350","s1e6","i"
"351","s1e6","have"
"352","s1e6","just"
"353","s1e6","been"
"354","s1e6","woken"
"355","s1e6","up"
"356","s1e6","by"
"357","s1e6","the"
"358","s1e6","most"
"359","s1e6","god"
"360","s1e6","awful"
"361","s1e6","racket"
"362","s1e6","which"
"363","s1e6","you"
"364","s1e6","can"
"365","s1e6","probably"
"366","s1e6","hear"
"367","s1e6","over"
"368","s1e6","the"
"369","s1e6","sound"
"370","s1e6","of"
"371","s1e6","my"
"372","s1e6","voice"
"373","s1e6","can"
"374","s1e6","you"
"375","s1e6","hear"
"376","s1e6","that"
"377","s1e6","up"
"378","s1e6","until"
"379","s1e6","this"
"380","s1e6","moment"
"381","s1e6","i've"
"382","s1e6","experienced"
"383","s1e6","nothing"
"384","s1e6","at"
"385","s1e6","the"
"386","s1e6","great"
"387","s1e6","northern"
"388","s1e6","hotel"
"389","s1e6","but"
"390","s1e6","the"
"391","s1e6","most"
"392","s1e6","pleasant"
"393","s1e6","courteous"
"394","s1e6","service"
"395","s1e6","imaginable"
"396","s1e6","however"
"397","s1e6","it"
"398","s1e6","just"
"399","s1e6","goes"
"400","s1e6","to"
"401","s1e6","prove"
"402","s1e6","the"
"403","s1e6","point"
"404","s1e6","that"
"405","s1e6","once"
"406","s1e6","a"
"407","s1e6","traveler"
"408","s1e6","leaves"
"409","s1e6","his"
"410","s1e6","home"
"411","s1e6","he"
"412","s1e6","loses"
"413","s1e6","almost"
"414","s1e6","100"
"415","s1e6","percent"
"416","s1e6","of"
"417","s1e6","his"
"418","s1e6","ability"
"419","s1e6","to"
"420","s1e6","control"
"421","s1e6","his"
"422","s1e6","environment"
"423","s1e6","diane"
"424","s1e6","i"
"425","s1e6","was"
"426","s1e6","wondering"
"427","s1e6","if"
"428","s1e6","you"
"429","s1e6","could"
"430","s1e6","overnight"
"431","s1e6","express"
"432","s1e6","to"
"433","s1e6","me"
"434","s1e6","two"
"435","s1e6","pair"
"436","s1e6","of"
"437","s1e6","those"
"438","s1e6","ear"
"439","s1e6","pillow"
"440","s1e6","silicone"
"441","s1e6","earplugs"
"442","s1e6","which"
"443","s1e6","i"
"444","s1e6","used"
"445","s1e6","on"
"446","s1e6","my"
"447","s1e6","last"
"448","s1e6","trip"
"449","s1e6","to"
"450","s1e6","new"
"451","s1e6","york"
"452","s1e6","naturally"
"453","s1e6","i"
"454","s1e6","didn't"
"455","s1e6","bring"
"456","s1e6","them"
"457","s1e6","with"
"458","s1e6","me"
"459","s1e6","on"
"460","s1e6","this"
"461","s1e6","trip"
"462","s1e6","because"
"463","s1e6","i"
"464","s1e6","didn't"
"465","s1e6","feel"
"466","s1e6","it"
"467","s1e6","would"
"468","s1e6","be"
"469","s1e6","necessary"
"470","s1e6","however"
"471","s1e6","coffee"
"472","s1e6","please"
"473","s1e6","what's"
"474","s1e6","with"
"475","s1e6","the"
"476","s1e6","choir"
"477","s1e6","practice"
"478","s1e6","heh"
"479","s1e6","business"
"480","s1e6","junket"
"481","s1e6","from"
"482","s1e6","iceland"
"483","s1e7","previously"
"484","s1e7","on"
"485","s1e7","twin"
"486","s1e7","peaks"
"487","s1e7","you"
"488","s1e7","ll"
"489","s1e7","put"
"490","s1e7","me"
"491","s1e7","to"
"492","s1e7","work"
"493","s1e7","behind"
"494","s1e7","the"
"495","s1e7","perfume"
"496","s1e7","counter"
"497","s1e7","does"
"498","s1e7","that"
"499","s1e7","clear"
"500","s1e7","things"
"501","s1e7","up"
"502","s1e7","so"
"503","s1e7","where"
"504","s1e7","do"
"505","s1e7","i"
"506","s1e7","start"
"507","s1e7","washing"
"508","s1e7","dishes"
"509","s1e7","will"
"510","s1e7","be"
"511","s1e7","fine"
"512","s1e7","donna"
"513","s1e7","it's"
"514","s1e7","maddy"
"515","s1e7","i"
"516","s1e7","found"
"517","s1e7","a"
"518","s1e7","tape"
"519","s1e7","in"
"520","s1e7","her"
"521","s1e7","hiding"
"522","s1e7","place"
"523","s1e7","i'll"
"524","s1e7","meet"
"525","s1e7","you"
"526","s1e7","and"
"527","s1e7","james"
"528","s1e7","tomorrow"
"529","s1e7","and"
"530","s1e7","bring"
"531","s1e7","a"
"532","s1e7","tape"
"533","s1e7","recorder"
"534","s1e7","why"
"535","s1e7","would"
"536","s1e7","an"
"537","s1e7","apartment"
"538","s1e7","dweller"
"539","s1e7","like"
"540","s1e7","jacques"
"541","s1e7","buy"
"542","s1e7","so"
"543","s1e7","much"
"544","s1e7","heating"
"545","s1e7","oil"
"546","s1e7","to"
"547","s1e7","heat"
"548","s1e7","a"
"549","s1e7","log"
"550","s1e7","cabin"
"551","s1e7","what"
"552","s1e7","did"
"553","s1e7","you"
"554","s1e7","see"
"555","s1e7","that"
"556","s1e7","night"
"557","s1e7","two"
"558","s1e7","men"
"559","s1e7","two"
"560","s1e7","girls"
"561","s1e7","screams"
"562","s1e7","we'll"
"563","s1e7","give"
"564","s1e7","josie"
"565","s1e7","a"
"566","s1e7","chance"
"567","s1e7","to"
"568","s1e7","sell"
"569","s1e7","tomorrow"
"570","s1e7","you"
"571","s1e7","do"
"572","s1e7","realise"
"573","s1e7","the"
"574","s1e7","risk"
"575","s1e7","if"
"576","s1e7","anyone"
"577","s1e7","sees"
"578","s1e7","us"
"579","s1e8","previously"
"580","s1e8","on"
"581","s1e8","twin"
"582","s1e8","peaks"
"583","s1e8","i"
"584","s1e8","shot"
"585","s1e8","him"
"586","s1e8","bobby"
"587","s1e8","i"
"588","s1e8","know"
"589","s1e8","i"
"590","s1e8","did"
"591","s1e8","what"
"592","s1e8","happened"
"593","s1e8","somebody"
"594","s1e8","shot"
"595","s1e8","waldo"
"596","s1e8","leo"
"597","s1e8","no"
"598","s1e8","leo"
"599","s1e8","no"
"600","s1e8","this"
"601","s1e8","was"
"602","s1e8","hidden"
"603","s1e8","in"
"604","s1e8","the"
"605","s1e8","desk"
"606","s1e8","then"
"607","s1e8","we"
"608","s1e8","can"
"609","s1e8","proceed"
"610","s1e8","is"
"611","s1e8","it"
"612","s1e8","set"
"613","s1e8","for"
"614","s1e8","tonight"
"615","s1e8","yes"
"616","s1e8","what"
"617","s1e8","policy"
"618","s1e8","is"
"619","s1e8","this"
